time,kape_cpu,kape_mem,7za_cpu,7za_mem,azcopy_cpu,azcopy_mem,bandwidth
1701292214.46486,0,0,0,0,0,0,0
1701292222.3092,0,0,0,0,0,0,0
1701292223.92073,0,0,0,0,0,0,0
1701292225.53671,0,0,0,0,0,0,0
1701292227.17243,0,0,0,0,0,0,0
1701292228.77931,0,0,0,0,0,0,0
1701292234.29473,2,1,0,0,0,0,0
1701292238.83199,8,1,0,0,0,0,0
1701292243.3983,10,1,0,0,0,0,0
1701292247.96687,2,1,0,0,0,0,0
1701292252.89918,3,1,0,0,0,0,0
1701292257.91008,4,1,0,0,0,0,0
1701292262.88494,4,1,0,0,0,0,0
1701292267.87279,4,1,0,0,0,0,0
1701292272.84138,4,1,0,0,0,0,0
1701292277.79194,5,1,0,0,0,0,0
1701292282.81919,4,1,0,0,0,0,0
1701292287.79776,4,1,0,0,0,0,0
1701292292.79481,5,1,0,0,0,0,0
1701292297.75056,2,1,0,0,0,0,0
1701292302.72777,4,1,0,0,0,0,0
1701292307.71598,3,1,0,0,0,0,0
1701292312.66606,5,1,0,0,0,0,0
1701292317.64073,3,1,0,0,0,0,0
1701292322.60754,0,1,0,0,0,0,0
1701292327.20329,0,1,0,0,0,0,0
1701292331.71997,0,1,0,0,0,0,0
1701292336.2278,0,1,0,0,0,0,0
1701292341.61481,0,0,54,0,0,0,0
1701292345.6545,0,0,62,0,0,0,0
1701292349.66111,0,0,66,1,0,0,0
1701292353.29466,0,0,62,1,0,0,0
1701292356.94633,0,0,67,1,0,0,0
1701292360.51077,0,0,74,1,0,0,0
1701292363.77134,0,0,77,1,0,0,0
1701292367.04224,0,0,79,1,0,0,0
1701292370.25867,0,0,8,1,0,0,0
1701292373.19769,0,0,28,1,0,0,0
1701292376.14739,0,0,29,1,0,0,0
1701292379.04534,0,0,29,1,0,0,0
1701292381.67923,0,0,31,1,0,0,0
1701292384.33127,0,0,33,1,0,0,0
1701292386.96043,0,0,31,1,0,0,0
1701292389.35563,0,0,34,1,0,0,0
1701292391.72522,0,0,35,1,0,0,0
1701292394.08555,0,0,35,1,0,0,0
1701292396.23383,0,0,38,1,0,0,0
1701292398.38274,0,0,37,1,0,0,0
1701292400.52104,0,0,40,1,0,0,0
1701292402.44575,0,0,41,1,0,0,0
1701292404.38877,0,0,41,1,0,0,0
1701292406.31993,0,0,42,1,0,0,0
1701292408.05702,0,0,49,1,0,0,0
1701292409.7906,0,0,48,1,0,0,0
1701292411.52043,0,0,46,1,0,0,0
1701292413.18951,0,0,50,1,0,0,0
1701292414.85281,0,0,52,1,0,0,0
1701292416.52344,0,0,52,1,0,0,0
1701292418.18206,0,0,47,1,0,0,0
1701292419.83533,0,0,50,1,0,0,0
1701292421.49631,0,0,49,1,0,0,0
1701292423.15107,0,0,50,1,0,0,0
1701292424.80457,0,0,49,1,0,0,0
1701292426.46565,0,0,51,1,0,0,0
1701292428.1348,0,0,51,1,0,0,0
1701292429.78809,0,0,48,1,0,0,0
1701292431.45739,0,0,52,1,0,0,0
1701292433.11494,0,0,48,1,0,0,0
1701292434.77724,0,0,45,1,0,0,0
1701292436.43999,0,0,50,1,0,0,0
1701292438.08495,0,0,51,1,0,0,0
1701292439.7528,0,0,50,1,0,0,0
1701292441.41423,0,0,46,1,0,0,0
1701292443.22704,0,0,45,1,0,0,0
1701292445.05573,0,0,46,1,0,0,0
1701292446.89841,0,0,44,1,0,0,0
1701292448.89973,0,0,40,1,0,0,0
1701292450.91241,0,0,40,1,0,0,0
1701292452.92994,0,0,42,1,0,0,0
1701292455.13134,0,0,36,1,0,0,0
1701292457.33227,0,0,35,1,0,0,0
1701292459.54509,0,0,38,1,0,0,0
1701292461.97366,0,0,33,1,0,0,0
1701292464.39362,0,0,34,1,0,0,0
